ID,Points,Market value,Average value,Ante penultimate match score,Penultimate match score,Last match score,Attempt to buy,Position
82,56,3.117.000,4.3,5,6,3,3.884.000,3
17290,59,1.559.000,3.1,1,2,3,1.559.000,3
57010,2,1.529.000,2.0,0.0,0.0,2,1.529.000,3
56990,0,1.036.000,0.0,0.0,0.0,0.0,1.036.000,3
27424,3,998.000,1.5,0.0,1,2,998.000,2
55042,47,677.000,3.4,5,2,0.0,677.000,2
22623,44,260.000,2.3,1,2,2,260.000,2
17981,45,190.000,2.5,0.0,0.0,3,190.000,2
11250,71,1.404.000,3.1,3,1,4,1.404.000,1
15345,66,808.000,3.1,0.0,0.0,0.0,808.000,1
25630,21,778.000,2.3,4,6,2,778.000,1
57111,0,176.000,0.0,0.0,0.0,0.0,176.000,1
20320,40,4.025.000,4.0,4,0.02,4,4.025.000,0
36375,14,600.000,2.8,4,2,2,600.000,3
27874,115,14.953.000,5.0,3,4,2,14.953.000,2
55454,45,479.000,2.8,2,0.0,5,479.000,2
55654,2,160.000,1.0,0.0,0.0,0.0,160.000,2
431,88,15.239.000,4.6,0.0,0.01,2,15.239.000,1
55519,42,3.012.000,3.8,0.0,0.0,0.0,3.012.000,1
456,48,345.000,2.4,2,1,1,345.000,1
56952,0,188.000,0.0,0.0,0.0,0.0,188.000,1
55966,19,164.000,1.9,0.0,0.0,0.0,164.000,1
48920,102,8.343.000,4.4,3,3,3,8.343.000,0
56983,0,167.000,0.0,0.0,0.0,0.0,167.000,0
